year, 5cm_fire,20cm_fire,5cm_canopy,20cm_canopy
1986, 0.00457508, 0.00681892, -0.838894, -0.575628
1987, 0.000501952, -0.000825249, -0.881354, -0.610701
1988, 0.00326127, 0.00485836, -0.927169, -0.615733
1989, 0.00321899, 0.00450368, -0.995228, -0.638776
1990, 0.00322286, -0.00114751, -0.995212, -0.642998
1991, 0.0135477, 0.0076461, -0.977936, -0.644119
1992, 0.0169787, 0.00760994, -0.828112, -0.532388
1993, 0.0169803, 0.00951731, -0.791471, -0.533674
1994, 0.0220725, 0.0133391, -0.918773, -0.603865
1995, 0.0249131, 0.018293, -0.853689, -0.579612
1996, 0.0287856, 0.0207152, -0.841347, -0.54598
1997, 0.0373665, 0.026109, -0.820937, -0.526615
1998, 0.0447097, 0.0261826, -0.956545, -0.638002
1999, 0.0431136, 0.0286352, -0.895694, -0.604605
2000, 0.0519872, 0.0386366, -0.796649, -0.531064
2001, 0.055715, 0.040721, -0.811209, -0.556225
2002, 0.0503852, 0.0349811, -0.904988, -0.589557
2003, 0.0510697, 0.0335992, -0.90102, -0.594666
2004, 0.0581032, 0.0398494, -0.916444, -0.596483
2005, 0.0598978, 0.0419739, -0.90859, -0.621437
2006, 0.0747082, 0.0562535, -0.926851, -0.652646
2007, 0.0763771, 0.0550663, -0.879323, -0.60395
2008, 0.0790569, 0.0583855, -0.823921, -0.543415
2009, 0.0767256, 0.0585385, -0.796995, -0.522755
2010, 0.0820348, 0.0520825, -0.887372, -0.626237
2011, 0.0771515, 0.0521989, -0.85035, -0.573024
2012, 0.0798914, 0.0545272, -0.958337, -0.656541
2013, 0.0875301, 0.0683688, -0.96632, -0.64412
2014, 0.0816386, 0.0606568, -0.928158, -0.611126
2015, 0.0948106, 0.0715025, -0.832758, -0.586832
2016, 0.0875435, 0.0626679, -0.821257, -0.580742
2017, 0.105585, 0.0833391, -0.964617, -0.634945
2018, 0.0914052, 0.0686339, -0.923017, -0.616918
2019, 0.101695, 0.0773235, -0.846226, -0.576641
2020, 0.0868613, 0.0669315, -0.733932, -0.499691
